JobType   ArrivalTime    ProcessingTime      
C         6102           8                   
C         6106           7                   
A         6106           1                   
D         6107           19                  
B         6109           8                   
A         6110           3                   
C         6112           12                  
A         6114           4                   
B         6115           6                   
D         6118           20                  
A         6120           5                   
B         6123           5                   
D         6124           8                   
A         6124           3                   
C         6128           12                  
A         6128           5                   
B         6130           8                   
A         6132           4                   
D         6135           12                  
A         6136           3                   
B         6138           7                   
D         6139           20                  
C         6140           12                  
A         6141           5                   
D         6146           15                  
A         6146           4                   
B         6146           8                   
C         6150           9                   
A         6150           4                   
B         6152           7                   
A         6154           5                   
C         6155           12                  
D         6159           4                   
A         6159           2                   
B         6160           7                   
A         6165           2                   
C         6165           7                   
B         6168           5                   
A         6169           5                   
D         6173           5                   
A         6174           2                   
B         6175           7                   
A         6180           5                   
C         6181           8                   
B         6182           4                   
A         6185           3                   
D         6186           12                  
B         6188           7                   
A         6191           2                   
D         6192           21                  
B         6196           3                   
A         6196           3                   
C         6199           7                   
D         6200           9                   
A         6202           2                   
B         6202           2                   
D         6206           16                  
C         6206           8                   
A         6207           1                   
B         6209           3                   
A         6212           5                   
D         6215           6                   
B         6217           2                   
A         6217           5                   
C         6217           10                  
A         6222           2                   
B         6223           5                   
D         6225           13                  
A         6227           2                   
C         6229           7                   
B         6230           4                   
A         6233           1                   
D         6235           5                   
B         6237           6                   
A         6237           2                   
A         6241           2                   
B         6243           7                   
D         6245           9                   
A         6245           1                   
C         6246           11                  
A         6249           3                   
B         6251           5                   
D         6253           5                   
A         6255           4                   
C         6258           10                  
B         6258           6                   
D         6259           3                   
A         6260           5                   
B         6264           4                   
A         6266           5                   
D         6267           14                  
A         6271           4                   
B         6271           6                   
C         6271           9                   
A         6276           3                   
D         6277           20                  
B         6277           6                   
C         6277           7                   
A         6280           5                   
B         6284           2                   
A         6286           2                   
D         6289           10                  
B         6290           2                   
A         6291           2                   
C         6291           6                   
A         6296           2                   
B         6296           5                   
D         6301           13                  
A         6301           1                   
B         6303           6                   
C         6303           10                  
D         6305           18                  
A         6307           2                   
B         6311           5                   
A         6313           3                   
D         6316           20                  
A         6317           2                   
B         6318           6                   
C         6319           7                   
A         6322           1                   
D         6325           20                  
B         6326           5                   
A         6328           5                   
D         6330           7                   
B         6333           5                   
A         6333           5                   
C         6334           6                   
A         6337           4                   
B         6339           3                   
D         6342           5                   
C         6342           12                  
A         6342           4                   
A         6346           3                   
B         6346           6                   
A         6352           3                   
B         6352           6                   
C         6353           11                  
D         6355           17                  
A         6357           5                   
C         6360           10                  
B         6360           7                   
A         6363           4                   
D         6364           15                  
A         6367           3                   
B         6368           3                   
D         6369           6                   
C         6372           12                  
A         6373           3                   
B         6374           3                   
A         6377           4                   
C         6381           12                  
B         6382           6                   
D         6383           22                  
A         6383           5                   
A         6387           2                   
B         6388           6                   
A         6391           5                   
C         6392           9                   
A         6395           1                   
D         6396           11                  
B         6396           2                   
C         6399           8                   
A         6400           5                   
B         6403           2                   
C         6404           12                  
D         6406           11                  
A         6406           2                   
C         6410           10                  
A         6411           5                   
B         6411           3                   
A         6415           5                   
C         6416           12                  
D         6419           20                  
B         6419           8                   
A         6420           4                   
D         6424           4                   
B         6426           2                   
A         6426           4                   
D         6432           7                   
B         6432           7                   
A         6432           1                   
C         6433           7                   
A         6436           4                   
B         6439           2                   
C         6440           7                   
A         6442           2                   
C         6445           11                  
B         6445           8                   
D         6446           18                  
A         6446           4                   
D         6450           19                  
A         6451           5                   
C         6452           8                   
B         6453           2                   
A         6455           4                   
D         6458           5                   
C         6459           11                  
B         6459           3                   
A         6460           1                   
A         6465           5                   
B         6466           2                   
D         6467           5                   
A         6469           5                   
D         6471           19                  
C         6473           10                  
A         6473           5                   
B         6473           7                   
A         6477           2                   
D         6478           7                   
C         6478           8                   
B         6479           4                   
A         6482           1                   
B         6485           5                   
A         6486           5                   
C         6487           11                  
D         6492           11                  
A         6492           5                   
B         6493           8                   
D         6496           7                   
A         6496           3                   
B         6499           4                   
A         6500           1                   
C         6505           10                  
A         6506           1                   
B         6507           3                   
D         6508           20                  
A         6510           3                   
A         6515           5                   
B         6515           4                   
B         6521           5                   
A         6521           1                   
D         6522           12                  
C         6522           9                   
D         6526           9                   
A         6526           3                   
B         6527           5                   
A         6532           3                   
B         6533           5                   
D         6535           18                  
C         6535           9                   
A         6536           3                   
B         6541           7                   
A         6542           4                   
D         6544           20                  
C         6547           11                  
B         6547           7                   
A         6548           5                   
C         6551           9                   
D         6552           5                   
A         6552           5                   
B         6554           3                   
A         6556           3                   
D         6560           2                   
A         6560           2                   
B         6562           8                   
A         6566           5                   
C         6567           10                  
B         6568           2                   
D         6569           2                   
A         6571           4                   
D         6574           17                  
C         6574           7                   
B         6576           5                   
A         6577           2                   
A         6581           3                   
B         6583           8                   
D         6585           7                   
C         6585           12                  
A         6585           4                   
D         6589           5                   
B         6589           7                   
A         6591           2                   
A         6595           4                   
B         6595           8                   
C         6599           6                   
D         6601           22                  
A         6601           1                   
B         6602           2                   
A         6606           1                   
B         6608           4                   
D         6611           9                   
A         6612           4                   
C         6613           10                  
B         6615           4                   
A         6617           3                   
C         6620           10                  
B         6621           7                   
D         6623           11                  
A         6623           1                   
C         6625           9                   
B         6628           5                   
A         6629           1                   
A         6633           4                   
B         6636           7                   
D         6637           16                  
A         6638           4                   
D         6642           8                   
C         6643           11                  
A         6644           2                   
B         6644           8                   
D         6647           15                  
C         6647           11                  
A         6649           5                   
B         6652           8                   
A         6655           3                   
C         6656           7                   
D         6657           8                   
B         6659           8                   
A         6659           3                   
A         6665           4                   
B         6667           7                   
C         6670           12                  
D         6671           8                   
A         6671           3                   
B         6673           2                   
A         6677           3                   
D         6679           16                  
B         6680           6                   
A         6682           4                   
C         6683           10                  
D         6684           21                  
B         6686           2                   
A         6687           5                   
A         6692           3                   
B         6693           8                   
A         6697           2                   
D         6698           17                  
C         6698           7                   
B         6699           6                   
A         6702           5                   
B         6706           4                   
A         6708           2                   
D         6709           22                  
A         6712           1                   
C         6712           10                  
B         6712           2                   
A         6716           4                   
B         6718           3                   
D         6719           7                   
A         6721           1                   
C         6723           8                   
D         6724           4                   
B         6726           2                   
A         6727           3                   
A         6731           3                   
B         6732           8                   
D         6734           6                   
A         6735           1                   
C         6737           10                  
B         6738           3                   
A         6739           2                   
D         6741           8                   
A         6743           2                   
D         6745           8                   
B         6746           2                   
A         6749           1                   
D         6752           11                  
B         6752           3                   
A         6754           4                   
C         6754           12                  
B         6760           7                   
A         6760           5                   
D         6765           9                   
A         6766           4                   
B         6767           5                   
C         6769           8                   
A         6771           5                   
B         6773           5                   
C         6774           7                   
D         6775           2                   
A         6775           5                   
B         6779           2                   
A         6781           2                   
C         6785           9                   
B         6786           3                   
A         6787           2                   
D         6789           18                  
A         6791           2                   
C         6792           9                   
B         6794           7                   
A         6796           5                   
B         6800           3                   
C         6800           11                  
A         6800           2                   
D         6801           5                   
A         6804           3                   
C         6808           8                   
B         6808           7                   
A         6810           2                   
D         6814           2                   
A         6815           2                   
C         6815           8                   
B         6816           5                   
A         6819           1                   
D         6821           22                  
B         6823           7                   
A         6825           5                   
A         6829           3                   
C         6830           9                   
B         6831           2                   
A         6833           5                   
D         6835           10                  
C         6836           11                  
B         6837           3                   
A         6839           5                   
B         6843           7                   
C         6844           12                  
A         6845           3                   
D         6848           20                  
C         6849           6                   
A         6850           5                   
B         6851           7                   
A         6854           5                   
D         6855           10                  
C         6858           8                   
A         6858           1                   
B         6859           5                   
D         6863           4                   
A         6864           4                   
B         6865           4                   
A         6870           2                   
B         6872           6                   
A         6874           3                   
D         6875           11                  
C         6876           6                   
A         6878           3                   
B         6880           4                   
C         6880           10                  
A         6883           4                   
C         6884           6                   
D         6886           11                  
B         6888           2                   
A         6889           5                   
A         6894           3                   
C         6895           8                   
B         6895           3                   
D         6896           7                   
A         6899           2                   
B         6901           6                   
C         6903           11                  
A         6903           2                   
D         6904           6                   
C         6908           6                   
A         6908           5                   
B         6909           5                   
D         6912           13                  
A         6914           2                   
B         6916           7                   
A         6920           3                   
D         6922           19                  
B         6924           5                   
A         6924           1                   
C         6925           11                  
A         6928           2                   
B         6930           6                   
A         6932           3                   
D         6933           4                   
A         6937           1                   
C         6938           6                   
B         6938           3                   
D         6939           9                   
A         6942           4                   
B         6944           4                   
D         6945           11                  
A         6947           1                   
B         6951           5                   
D         6952           18                  
C         6952           12                  
A         6952           5                   
A         6957           4                   
D         6958           5                   
B         6958           7                   
A         6962           5                   
B         6966           3                   
A         6968           1                   
D         6970           19                  
C         6970           6                   
B         6972           6                   
A         6972           3                   
C         6976           10                  
A         6977           3                   
B         6978           2                   
D         6981           20                  
A         6982           2                   
D         6985           16                  
B         6985           7                   
C         6987           12                  
A         6987           1                   
B         6991           2                   
D         6992           15                  
A         6993           2                   
D         6996           16                  
A         6997           3                   
B         6999           8                   
C         7001           9                   
A         7002           5                   
D         7007           14                  
B         7007           2                   
A         7007           2                   
C         7011           9                   
A         7013           2                   
D         7014           16                  
B         7015           6                   
A         7018           4                   
C         7019           11                  
D         7023           5                   
B         7023           2                   
A         7024           5                   
A         7030           2                   
D         7031           22                  
C         7031           11                  
B         7031           5                   
A         7034           1                   
C         7036           7                   
D         7038           5                   
B         7038           4                   
A         7039           5                   
A         7043           1                   
B         7044           6                   
D         7048           10                  
A         7049           3                   
C         7049           9                   
B         7050           8                   
A         7054           4                   
B         7057           6                   
D         7058           20                  
A         7060           5                   
C         7063           8                   
A         7065           5                   
B         7065           5                   
A         7070           5                   
B         7071           5                   
D         7072           5                   
D         7076           17                  
A         7076           3                   
B         7078           4                   
A         7080           3                   
C         7080           8                   
C         7084           6                   
A         7085           5                   
D         7086           10                  
B         7086           3                   
A         7090           5                   
C         7093           8                   
B         7094           7                   
A         7094           1                   
D         7096           21                  
A         7098           3                   
B         7100           8                   
A         7104           4                   
C         7105           11                  
B         7107           2                   
A         7109           2                   
D         7110           2                   
A         7115           5                   
B         7115           5                   
C         7117           12                  
D         7118           8                   
A         7119           4                   
B         7121           6                   
D         7122           7                   
C         7122           11                  
A         7123           4                   
A         7127           1                   
B         7128           2                   
C         7128           8                   
A         7132           5                   
D         7133           12                  
B         7134           4                   
A         7136           2                   
D         7138           17                  
B         7140           5                   
A         7141           1                   
C         7144           10                  
A         7146           2                   
B         7146           3                   
D         7147           8                   
A         7151           1                   
D         7153           20                  
B         7153           3                   
A         7157           1                   
B         7159           3                   
C         7160           12                  
A         7163           5                   
B         7165           3                   
D         7166           17                  
A         7167           4                   
B         7171           5                   
A         7173           4                   
C         7173           10                  
D         7177           22                  
B         7177           8                   
A         7177           4                   
A         7181           2                   
B         7183           8                   
D         7187           5                   
A         7187           5                   
C         7190           9                   
B         7190           7                   
A         7191           1                   
C         7195           11                  
D         7196           4                   
A         7197           5                   
B         7198           2                   
D         7201           14                  
C         7201           11                  
A         7202           3                   
B         7204           2                   
A         7207           4                   
B         7212           7                   
A         7213           3                   
D         7215           20                  
C         7215           11                  
A         7217           3                   
B         7218           7                   
D         7219           4                   
A         7221           4                   
B         7225           7                   
A         7226           3                   
D         7228           21                  
C         7228           11                  
A         7230           2                   
B         7232           4                   
A         7236           2                   
B         7240           6                   
A         7241           4                   
D         7242           14                  
C         7242           6                   
B         7246           4                   
A         7247           5                   
B         7252           4                   
A         7253           3                   
D         7255           14                  
C         7258           8                   
A         7259           5                   
D         7260           12                  
B         7260           3                   
C         7262           10                  
A         7264           3                   
D         7266           18                  
B         7266           7                   
A         7270           3                   
B         7274           6                   
A         7276           4                   
D         7278           20                  
A         7280           3                   
C         7280           11                  
B         7281           8                   
A         7284           2                   
A         7288           4                   
B         7289           3                   
C         7291           6                   
D         7292           16                  
A         7292           5                   
C         7296           8                   
A         7296           2                   
B         7296           8                   
D         7299           4                   
A         7300           1                   
A         7304           5                   
B         7304           2                   
D         7305           7                   
A         7309           4                   
C         7311           10                  
D         7312           3                   
B         7312           8                   
A         7315           3                   
D         7316           3                   
B         7318           8                   
A         7319           4                   
C         7322           11                  
D         7323           8                   
A         7323           2                   
B         7326           8                   
A         7327           4                   
D         7332           16                  
A         7332           2                   
B         7332           4                   
C         7337           10                  
A         7337           2                   
B         7338           2                   
A         7342           3                   
C         7343           6                   
B         7344           4                   
D         7346           17                  
A         7348           4                   
B         7351           4                   
A         7354           3                   
C         7358           6                   
A         7358           4                   
D         7359           17                  
B         7359           2                   
A         7363           5                   
B         7367           2                   
C         7368           8                   
D         7369           19                  
A         7369           2                   
B         7373           4                   
C         7374           12                  
A         7374           4                   
A         7378           1                   
B         7379           3                   
D         7381           19                  
C         7384           9                   
A         7384           2                   
B         7386           8                   
A         7390           3                   
B         7392           2                   
D         7393           16                  
C         7396           6                   
A         7396           3                   
B         7398           8                   
A         7400           3                   
B         7405           6                   
D         7406           21                  
A         7406           3                   
C         7406           10                  
D         7410           5                   
C         7410           9                   
A         7412           2                   
B         7412           3                   
A         7416           4                   
D         7418           12                  
C         7418           12                  
B         7418           6                   
A         7422           4                   
B         7425           2                   
D         7426           4                   
A         7426           3                   
A         7430           4                   
B         7432           3                   
D         7434           15                  
C         7434           8                   
A         7435           2                   
D         7438           5                   
B         7438           6                   
A         7439           3                   
C         7442           7                   
A         7445           1                   
B         7446           5                   
A         7451           5                   
D         7452           15                  
B         7454           4                   
A         7455           5                   
C         7460           10                  
A         7461           1                   
B         7461           7                   
D         7464           16                  
A         7466           1                   
B         7468           4                   
C         7469           10                  
D         7470           10                  
A         7472           1                   
C         7475           11                  
B         7475           3                   
A         7477           1                   
A         7482           5                   
B         7483           8                   
D         7484           15                  
A         7486           5                   
B         7491           6                   
A         7491           4                   
D         7493           17                  
C         7493           11                  
B         7497           8                   
A         7497           1                   
A         7502           3                   
B         7503           7                   
D         7507           6                   
A         7508           5                   
C         7508           8                   
B         7511           4                   
C         7512           9                   
A         7513           5                   
D         7514           4                   
A         7517           2                   
B         7519           3                   
C         7520           12                  
A         7521           1                   
D         7524           10                  
B         7525           3                   
A         7527           1                   
B         7532           5                   
A         7532           3                   
D         7534           8                   
C         7534           12                  
A         7536           1                   
D         7540           6                   
B         7540           4                   
C         7540           9                   
A         7540           2                   
A         7545           4                   
D         7546           17                  
B         7548           8                   
A         7550           3                   
C         7553           7                   
A         7554           3                   
B         7556           5                   
D         7558           5                   
A         7559           4                   
D         7562           14                  
B         7562           7                   
A         7563           4                   
C         7567           11                  
B         7568           7                   
D         7569           10                  
A         7569           5                   
C         7572           9                   
A         7574           2                   
B         7576           4                   
D         7580           19                  
A         7580           2                   
B         7583           2                   
A         7584           5                   
C         7586           10                  
B         7589           3                   
A         7590           5                   
D         7593           22                  
B         7595           3                   
A         7596           2                   
A         7600           1                   
B         7601           8                   
C         7604           10                  
A         7604           1                   
D         7605           22                  
A         7608           3                   
B         7608           8                   
A         7614           2                   
B         7615           8                   
D         7616           14                  
A         7618           1                   
B         7621           5                   
C         7621           7                   
A         7624           2                   
D         7626           10                  
A         7629           3                   
B         7629           4                   
C         7631           11                  
A         7633           1                   
B         7636           8                   
D         7637           3                   
A         7639           4                   
C         7641           9                   
A         7643           1                   
B         7644           4                   
D         7648           20                  
A         7648           5                   
B         7650           3                   
C         7652           12                  
A         7654           3                   
B         7657           2                   
D         7659           9                   
A         7659           1                   
C         7661           6                   
A         7664           4                   
B         7664           8                   
C         7668           11                  
A         7669           3                   
B         7670           2                   
D         7673           19                  
A         7675           4                   
B         7677           3                   
A         7679           2                   
D         7681           18                  
C         7683           6                   
A         7685           4                   
B         7685           4                   
D         7689           12                  
A         7691           3                   
B         7693           5                   
C         7695           9                   
D         7697           8                   
A         7697           3                   
B         7700           7                   
A         7701           5                   
C         7705           12                  
A         7705           2                   
D         7707           21                  
B         7708           3                   
A         7711           1                   
B         7714           3                   
A         7717           1                   
C         7717           9                   
D         7719           12                  
B         7720           6                   
A         7722           2                   
A         7726           5                   
B         7726           8                   
D         7727           15                  
A         7730           3                   
D         7731           7                   
B         7733           6                   
C         7734           11                  
A         7736           3                   
D         7740           4                   
A         7741           3                   
B         7741           8                   
A         7746           5                   
B         7747           5                   
C         7749           10                  
A         7750           3                   
D         7752           12                  
B         7753           4                   
A         7754           5                   
A         7758           3                   
D         7759           17                  
B         7760           5                   
C         7763           8                   
D         7764           2                   
A         7764           1                   
B         7766           8                   
A         7769           4                   
D         7771           22                  
B         7773           3                   
A         7774           3                   
D         7775           10                  
A         7778           2                   
C         7780           11                  
B         7781           6                   
A         7784           5                   
D         7788           2                   
C         7788           8                   
B         7788           2                   
A         7789           5                   
D         7794           21                  
A         7794           3                   
B         7795           4                   
A         7799           1                   
C         7803           12                  
A         7803           1                   
B         7803           3                   
A         7807           1                   
D         7808           10                  
A         7811           2                   
B         7811           2                   
C         7813           6                   
A         7817           1                   
B         7819           6                   
A         7821           4                   
D         7822           4                   
C         7825           8                   
A         7825           2                   
B         7826           7                   
A         7830           2                   
C         7832           10                  
B         7834           6                   
D         7835           22                  
A         7835           5                   
C         7837           8                   
A         7840           2                   
B         7841           7                   
A         7845           3                   
D         7847           15                  
B         7848           6                   
C         7850           8                   
A         7850           5                   
D         7851           13                  
A         7855           4                   
D         7856           8                   
B         7856           2                   
C         7860           6                   
A         7861           5                   
D         7862           4                   
B         7862           5                   
C         7867           8                   
A         7867           1                   
B         7869           6                   
D         7871           15                  
A         7873           4                   
C         7877           9                   
B         7877           8                   
A         7877           1                   
D         7879           9                   
A         7881           1                   
C         7883           12                  
D         7884           3                   
B         7885           3                   
A         7886           1                   
D         7891           16                  
